tweet_number,word,tf-idf_score
67,SUCK,0.8309644668601394
68,7PHXOPuSVG,0.3341305578843194
68,BigAirMar,0.3341305578843194
68,CDNOlympicTeam,0.18572356203989132
68,Earlier,0.3341305578843194
68,RT,0.09762816455297588
68,WeAreWinter,0.16642533526810502
68,cross,0.3341305578843194
68,gold,0.2362392860195479
68,http,0.21164312891559062
68,kelseyserwa,0.3341305578843194
68,silver,0.31584911114884684
68,ski,0.3341305578843194
68,today,0.24094865471275775
69,Bieber,0.27797554580214984
69,Canada,0.17329050097828994
69,FINAL,0.3167414712625863
69,Justin,0.29406485856247944
69,NOTSportsCenter,0.29406485856247944
69,RT,0.08592154091732244
69,See,0.27797554580214984
69,US,0.24667768507354818
69,deport,0.3167414712625863
69,don,0.29406485856247944
69,happens,0.3167414712625863
69,immediately,0.3167414712625863
69,opportunity,0.29406485856247944
70,CANADA,0.4132141406222818
70,CHEER,0.4132141406222818
70,FOR,0.36264094441053
70,GOCANADA,0.4132141406222818
70,HERE,0.4132141406222818
70,http,0.12149862297978728
70,lSB4rikwHV,0.4132141406222818
71,Cdn,0.31210426678283487
71,Could,0.31210426678283487
71,GoCanadaGo,0.1430281284402665
71,Olympic,0.2430662386099133
71,TaP6VOeaX3,0.31210426678283487
71,celebration,0.31210426678283487
71,hockey,0.18803870088864533
71,http,0.09176897620958575
71,possibly,0.31210426678283487
71,reign,0.31210426678283487
71,remnants,0.31210426678283487
71,shine,0.31210426678283487
71,teams,0.31210426678283487
72,ANY,0.28403468287015987
72,Does,0.28403468287015987
72,Olympics2014,0.19015943695030005
72,Should,0.28403468287015987
72,US,0.22120569741536886
72,YankeeBoBo,0.28403468287015987
72,anthem,0.28403468287015987
72,know,0.2492717347142644
72,medal,0.2145087865583689
72,national,0.28403468287015987
72,prerequisite,0.28403468287015987
72,sure,0.28403468287015987
72,winner,0.28403468287015987
72,words,0.28403468287015987
73,Canada,0.17170256472169734
73,Canadians,0.2630628526114712
73,Congratulations,0.31383903135188773
73,Hockey,0.2630628526114712
73,Lost,0.31383903135188773
73,RT,0.08513420445470807
73,Team,0.2630628526114712
73,US,0.24441727011941466
73,USAHockey,0.2630628526114712
73,chance,0.31383903135188773
73,hockey,0.1890838736422089
73,make,0.31383903135188773
73,popular,0.31383903135188773
73,wlodekpk,0.31383903135188773
74,7PHXOPuSVG,0.3341305578843194
74,BigAirMar,0.3341305578843194
74,CDNOlympicTeam,0.18572356203989132
74,Earlier,0.3341305578843194
74,RT,0.09762816455297588
74,WeAreWinter,0.16642533526810502
74,cross,0.3341305578843194
74,gold,0.2362392860195479
74,http,0.21164312891559062
74,kelseyserwa,0.3341305578843194
74,silver,0.31584911114884684
74,ski,0.3341305578843194
74,today,0.24094865471275775
75,Blue,0.30798781521659213
75,GoCanadaGo,0.14114168078159228
75,Just,0.23259868072898326
75,Looking,0.30798781521659213
75,Red,0.30798781521659213
75,Tears,0.30798781521659213
75,White,0.30798781521659213
75,forward,0.30798781521659213
75,got,0.24824333965425002
75,home,0.18011587801132872
75,seeing,0.30798781521659213
75,twitter,0.30798781521659213
75,work,0.2702932479727877
76,5000m,0.30721487048186735
76,It,0.27736815989299307
76,J2K111,0.29040607476254915
76,RT,0.08976378610336158
76,SILVER,0.30721487048186735
76,TeamUSA,0.19351850454268912
76,TophCrev,0.29040607476254915
76,USOlympic,0.2667154077862683
76,eddyalvarez90,0.29040607476254915
76,http,0.194594343151012
76,jrcelski,0.27736815989299307
76,men,0.2667154077862683
76,nPsjh8qkgP,0.30721487048186735
76,relay,0.29040607476254915
77,Ah,0.2827025514089041
77,Lo,0.2827025514089041
77,Los,0.2827025514089041
77,Nicky,0.2827025514089041
77,Romero,0.2827025514089041
77,USAvsCanada,0.20236405096447127
77,es,0.2827025514089041
77,mas,0.2827025514089041
77,odio,0.2827025514089041
77,probable,0.2827025514089041
77,que,0.2827025514089041
77,todos,0.2827025514089041
77,vea,0.2827025514089041
78,2ndService,0.3082162217880651
78,8B3vK3JsIQ,0.3082162217880651
78,Bring,0.286149961056505
78,Excited,0.3082162217880651
78,GoCanadaGo,0.1412463527387494
78,Please,0.3082162217880651
78,RT,0.16721784240113735
78,So,0.2400382361985193
78,Sunday,0.21070491729949034
78,WE,0.3082162217880651
78,friend,0.3082162217880651
78,http,0.09062576239740455
78,news,0.3082162217880651
78,share,0.3082162217880651
79,USAvsCanada,0.3819458425463759
79,bullsinthebutt,0.5335782895888035
79,relationship,0.5335782895888035
79,trending,0.5335782895888035
80,Can,0.2968754784936392
80,GoCanadaGo,0.1360492264538599
80,ScottRintoul,0.2968754784936392
80,The,0.2075131851619143
80,early,0.27562114062899606
80,family,0.2968754784936392
80,game,0.17617478057925612
80,gold,0.19487155525784117
80,including,0.2968754784936392
80,medal,0.22420641735402674
80,sons,0.2968754784936392
80,wait,0.27562114062899606
80,waking,0.2968754784936392
80,watch,0.22420641735402674
80,young,0.2968754784936392
81,GoCanadaGo,0.40247692947366
81,WBmLkrUPWG,0.878252189553361
81,http,0.25823518889992836
82,BVXNpu79qO,0.4355302775912184
82,Canada,0.23828032273180533
82,Go,0.7020894028145438
82,RT,0.1181450361318913
82,SCAElementary,0.4355302775912184
82,WeAreWinter,0.20140015269715575
82,http,0.12806030527814935
83,Canada,0.21399517559732767
83,ChannyDhillon,0.39114173240392897
83,Game,0.3278587097925395
83,RT,0.10610388412749129
83,USA,0.27998695121796924
83,Vs,0.39114173240392897
83,hJR2CrFSBd,0.39114173240392897
83,http,0.1150086049945872
83,jazzyb,0.3631385487942289
83,sochi14,0.39114173240392897
84,3auspuEgrx,0.4077846461654452
84,RT,0.11061855910845737
84,Sochi,0.32868125757717725
84,TODAYshow,0.37858993904584043
84,TeamUSA,0.2384785564713838
84,USFigureSkating,0.4077846461654452
84,helps,0.4077846461654452
84,http,0.11990217204761786
84,sign,0.4077846461654452
85,CBCOlympics,0.4562272437689286
85,Canadians,0.31736297197936264
85,Olympic,0.2948686615314139
85,QV3CuWyOZn,0.37862011577919097
85,RT,0.10270718147632021
85,hjx6brHuaQ,0.37862011577919097
85,hockey,0.2281136218844643
85,http,0.22265367119500157
85,matter,0.35151339782473506
85,watch,0.2859416349499477
86,Free,0.3310319379002749
86,Garage,0.3310319379002749
86,Garage710,0.3310319379002749
86,GoCanadaGo,0.1517021187178298
86,RT,0.08979807438495879
86,The,0.2313882310946031
86,breakfest,0.3310319379002749
86,game,0.19644424430142488
86,gold,0.2172921418298474
86,medal,0.2500020722593008
86,pancake,0.3310319379002749
86,prices,0.3310319379002749
86,staff,0.3310319379002749
87,DTashe,0.3960938655280816
87,RT,0.10744723492762116
87,StorminNorman73,0.3960938655280816
87,TimMushey73,0.3960938655280816
87,Walshy_44,0.3960938655280816
87,WeAreWinter,0.18316376404635706
87,bearcats_dean,0.3960938655280816
87,http,0.11646469590786292
87,rag3CW06OR,0.3960938655280816
88,AnneFizzard,0.5614700722022186
88,Olympics2014,0.3759006883086359
88,Woo,0.5212724961813778
88,hoo,0.5212724961813778
89,It,0.31910534235818344
89,Just,0.2875114974695133
89,Yeah,0.3806987970772797
89,ZP7kdeS2EP,0.3806987970772797
89,cool,0.3341051472733966
89,http,0.11193803664437513
89,night,0.3806987970772797
89,right,0.3341051472733966
89,winter,0.3806987970772797
90,Breaking,0.3189023667076408
90,Explosion,0.3189023667076408
90,Go,0.2768621670136724
90,Huge,0.3189023667076408
90,JollyGreenApple,0.3189023667076408
90,News,0.3189023667076408
90,OLYMPICS,0.3189023667076408
90,RT,0.09317870514568735
90,RpNrrGemWR,0.3189023667076408
90,SOCHI,0.30145410735747297
90,VIDEO,0.3189023667076408
90,http,0.10099868616620118
91,Are,0.30021981714989976
91,CBCOlympics,0.19482679828238453
91,RT,0.08771993168287899
91,Tonight,0.30021981714989976
91,We,0.2314753737330364
91,ZnE8tuHOv,0.30021981714989976
91,added,0.30021981714989976
